,sensor_a,sensor_b,sensor_c,sensor_d,sensor_e
Direction ‚ True,10108.940307762601,9977.217770434556,7703.363096053383,8133.890056588521,9308.28507973837
Wind Speed,1.2511544916042492,1.3015015861359964,1.4309200578862875,1.7398167696980256,0.5112267803336518
Crosswind Speed,0.9265927644783865,0.8785851079453664,1.0425748022049615,1.4515029350126065,0.31594198410948615
Headwind Speed,1.034940100520553,1.2567193159380559,1.2717321788329317,1.2325027123981849,0.31907310779582404
Temperature,15.864269256376364,16.629066927759013,16.104538236887244,16.105591289728583,19.0431322113618
Globe Temperature,68.19135251709339,66.04931685187906,67.9413047035714,61.202252800741135,63.2155026416142
Wind Chill,16.264446722475157,17.035825777973596,16.5411226631615,16.556852129105902,19.13706204486253
Relative Humidity,376.0100589791289,408.6230082195134,374.6226430461106,389.8560404903271,406.4944625984991
Heat Stress Index,14.99684832166577,15.439157422365822,15.356253561095237,15.117643779986343,18.475240038215624
Dew Point,9.72347182976779,9.636518216086552,10.084149493593053,10.071882982941721,9.42258543396781
Psychro Wet Bulb Temperature,6.94402711933552,6.770262722540428,7.239313446989819,7.044402876858267,6.997445432497979
Station Pressure,38.47126661118454,36.841934433184825,37.6914914218262,34.98778358903481,38.93991344977667
Barometric Pressure,38.46795083631132,36.82886775346346,37.67562315856838,34.952326858446234,38.93517683871855
Altitude,2663.6410450221115,2545.708131394723,2608.5346341948175,2419.7235906888986,2692.3533857573307
Density Altitude,26510.044345229355,26863.31024036814,26986.60297012096,26516.1257325273,29714.92750202102
NA Wet Bulb Temperature,10.0121076793786,9.80925446223136,10.48027909670194,9.98743413996465,9.432183526452889
WBGT,16.13525808488765,15.835355467436889,16.54674534936898,15.507184895170182,15.489871530176462
TWL,814.7665641667074,790.0692213638812,766.5335138918264,616.009807273444,1289.913383036509
Direction ‚ Mag,10105.677048840587,9975.446909156182,7704.620169945353,8135.315512629364,9268.007890383218
